Булеан,множество всех подмножеств данного множества.
Биекция,функция, которая инъективна и сюръективна.
Разбиение,представление множества в виде объединения произвольного количества попарно непересекающихся подмножеств.
Поле,коммутативное ассоциативное кольцо, в котором каждый ненулевой элемент обратим.
Вектор,множество направленных отрезков, имеющих одинаковый модуль и сонаправленных друг другу.
Базис,максимальная по включению упорядоченная линейно независимая система.
Форма,однородный многочлен от нескольких переменных.
